freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NRG_CO2,MIO_EUR,C23,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.4 	3.2 
A,NRG_CO2,MIO_EUR,C23,IE	6.33 e	7.85 e	7.21 e	6.5 e	6.06 e	7.26 e	7.07 e	7.18 e	11.04 e	15.46 e	17.99 e
A,NRG_CO2,MIO_EUR,C23,IS	: 	0.09 	0.1 	0.14 	0.18 	0.36 	0.33 	0.43 	0.5 	0.59 	0.55 
A,NRG_CO2,MIO_EUR,C23,IT	0 	35.2 	37.69 	47.52 	33.5 	49.7 	126.85 	122.14 	165.97 	263.69 	334.76 
A,NRG_CO2,MIO_EUR,C23,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C23,LV	: 	0.06 	0.06 	0.05 	0.04 	0.06 	0.15 	0.21 	0.23 	0.66 	0.75 
A,NRG_CO2,MIO_EUR,C23,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C23,NL	1 	-1 	0 	0 	0 	0 	0 	1 	3 	10 	12 p
A,NRG_CO2,MIO_EUR,C23,NO	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C23,PL	: 	: 	44.61 	30.81 	35.4 	129.17 	318.67 	606.41 	1014.34 	1667.46 	1615.02 
A,NRG_CO2,MIO_EUR,C23,PT	1.71 	2.66 	4.02 	3.99 	5.2 	10.97 	13.39 	12.96 	12.89 	25.9 	33.93 
A,NRG_CO2,MIO_EUR,C23,RO	57.66 	96.56 	54.07 	115.52 	54.96 	20.23 	189.59 	168.25 	159.08 	45.33 	124.39 
A,NRG_CO2,MIO_EUR,C23,SE	32.64 	42.62 	59.68 	72.81 	70.92 	84.2 	89.38 	86.1 	79.89 	85.91 	92.77 
A,NRG_CO2,MIO_EUR,C23,SI	: 	1.71 	2.42 	10.92 	10.99 	12.63 	15.25 	16.4 	19.6 	23.01 	27.69 
A,NRG_CO2,MIO_EUR,C23,SK	1.52 e	10.89 e	10.34 e	13.97 e	12.79 e	19.11 e	50.98 e	54.61 e	55.68 e	57.86 e	71.92 e
A,NRG_CO2,MIO_EUR,C24,AT	14.49 	16.57 	28.84 	20.38 	27.62 	35 	93.6 	82.6 	82.78 	170.99 	212.74 
A,NRG_CO2,MIO_EUR,C24,BE	0.14 	0.58 	0.41 	0.87 	0.74 	1.31 	2.64 	2.11 	6.52 	4.76 e	8.15 e
A,NRG_CO2,MIO_EUR,C24,BG	0.02 	0.02 	0.02 	0.07 	0.05 	0.07 	0.22 	0.08 	0.49 	3.57 	0.28 
A,NRG_CO2,MIO_EUR,C24,CH	1.19 	4.01 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C24,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C24,CZ	0.42 	11.29 	0.04 	1.11 	0.04 	0.04 	0 	0 	0 	2.81 	0 
A,NRG_CO2,MIO_EUR,C24,DE	3.3 e	8.01 e	17.02 e	14.16 e	33.16 e	68.92 e	124.21 e	103.33 e	297.65 e	282.77 e	512.3 bep
A,NRG_CO2,MIO_EUR,C24,DK	: 	2.38 	2.38 	2.8 	2.85 	1.32 	2.12 	1.64 	2.02 	2.74 p	2.92 p
A,NRG_CO2,MIO_EUR,C24,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C24,EL	1.76 	2.58 	2.97 	6.89 	5.69 	6.93 	24.78 	35.29 	35.26 	35.75 	49.79 
A,NRG_CO2,MIO_EUR,C24,ES	10.96 	18.82 	30.91 	30.06 	33.52 	53.88 	76.68 	95.82 	156.76 	185.27 	247.77 
A,NRG_CO2,MIO_EUR,C24,FI	: 	0.19 	2.34 	11.78 	9.69 	14.45 	9.1 	10.05 	50.65 	21.8 	52.71 
A,NRG_CO2,MIO_EUR,C24,FR	0 e	0.17 e	0.35 e	0.52 e	9.97 e	8.34 e	16.36 e	0.41 e	1.4 e	1.36 p	1.29 p
A,NRG_CO2,MIO_EUR,C24,HR	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C24,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.08 	31.9 
A,NRG_CO2,MIO_EUR,C24,IE	1.18 e	2.03 e	1.52 e	1.44 e	1.79 e	2 e	2.65 e	6.6 e	7.78 e	4.97 e	6.07 e
A,NRG_CO2,MIO_EUR,C24,IS	: 	0.01 	0.03 	0.01 	0 	0 	0.02 	23.35 	20.34 	3.2 	13.64 
A,NRG_CO2,MIO_EUR,C24,IT	0 	36.19 	30.03 	44.86 	30.34 	44.52 	120.28 	95.64 	102.81 	172.62 	219.14 
A,NRG_CO2,MIO_EUR,C24,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C24,LV	: 	: 	: 	0.11 	0.01 	: 	: 	: 	: 	: 	: 
A,NRG_CO2,MIO_EUR,C24,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C24,NL	4 	-14 	-16 	-17 	-16 	-18 	-39 	-35 	-55 	-128 	-174 p
A,NRG_CO2,MIO_EUR,C24,NO	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C24,PL	: 	: 	35.73 	24.59 	28.22 	104.45 	257.32 	493.26 	576.37 	1039.79 	967.62 
A,NRG_CO2,MIO_EUR,C24,PT	2.2 	3.43 	5.18 	5.13 	6.69 	14.13 	17.24 	16.69 	16.6 	33.35 	43.69 
A,NRG_CO2,MIO_EUR,C24,RO	7.43 	6.71 	53.53 	60.62 	32.9 	52.98 	132.62 	100.42 	162.09 	79.07 	64.94 
A,NRG_CO2,MIO_EUR,C24,SE	52.53 	71.3 	85.91 	113.92 	106.59 	137.32 	171.17 	132.51 	159.75 	171.52 	188.4 
A,NRG_CO2,MIO_EUR,C24,SI	: 	0.89 	1.39 	5.83 	6.33 	7.21 	8.21 	8.67 	9.9 	11.21 	13.16 
A,NRG_CO2,MIO_EUR,C24,SK	3.25 e	23.62 e	21.88 e	29.66 e	27.08 e	40.44 e	107.39 e	115.06 e	116.57 e	146.23 e	181.74 e
A,NRG_CO2,MIO_EUR,C25,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.42 	1.36 
A,NRG_CO2,MIO_EUR,C25,BE	0.01 	0.02 	0.02 	0.04 	0.01 	0.03 	0.03 	0 	0.11 	0.09 e	0.24 e
A,NRG_CO2,MIO_EUR,C25,BG	0 	0 	0 	0 	0.01 	0.02 	0.06 	0.07 	0.11 	0.21 	0 
A,NRG_CO2,MIO_EUR,C25,CH	4.51 	3.7 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C25,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,DE	0.21 e	0.13 e	0.25 e	0.2 e	0.19 e	0.08 e	0.31 e	0.22 e	70.2 e	79.36 e	65.72 bep
A,NRG_CO2,MIO_EUR,C25,DK	: 	3.08 	3.07 	3.1 	3.27 	3.41 	3.18 	3.33 	3.58 	3.09 p	3.11 p
A,NRG_CO2,MIO_EUR,C25,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,FI	: 	0 	0 	1.53 	1.58 	1.44 	1.23 	1.18 	2.06 	2.07 	1.6 
A,NRG_CO2,MIO_EUR,C25,FR	0 e	2.24 e	4.6 e	7.2 e	12.33 e	18.19 e	19.99 e	14.43 e	16.04 e	15.63 p	14.82 p
A,NRG_CO2,MIO_EUR,C25,HR	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,IE	0.68 e	1.41 e	1.01 e	1.01 e	1.26 e	1.28 e	0.8 e	1.93 e	1.3 e	1.77 e	2.05 e
A,NRG_CO2,MIO_EUR,C25,IS	: 	0.04 	0.05 	0.06 	0.08 	0.1 	0.12 	0.11 	0.14 	0.17 	0.15 
A,NRG_CO2,MIO_EUR,C25,IT	0 	0.05 	0.05 	0.01 	0.01 	0.08 	0.25 	0.21 	0.48 	0.42 	0.53 
A,NRG_CO2,MIO_EUR,C25,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C25,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,NRG_CO2,MIO_EUR,C25,NO	0.9 	0.6 	0.89 	0.97 	1.18 	1.35 	1.42 	1.21 	1.38 	2.08 	2.19 
A,NRG_CO2,MIO_EUR,C25,PL	: 	: 	0.11 	0.07 	0.08 	0.26 	0.02 	0.01 	0.01 	0.01 	0.01 
A,NRG_CO2,MIO_EUR,C25,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C25,RO	0.09 	0.09 	0.18 	0.15 	0.08 	0.12 	0.07 	0.06 	0.1 	0.08 	0.15 
A,NRG_CO2,MIO_EUR,C25,SE	16.72 	16.06 	15.86 	15.63 	15.65 	13.89 	12.11 	11.11 	12.09 	11.41 	11.56 
A,NRG_CO2,MIO_EUR,C25,SI	: 	0.11 	0.17 	0.73 	0.76 	1.09 	1.09 	1.17 	1.49 	1.77 	2.15 
A,NRG_CO2,MIO_EUR,C25,SK	0 e	0 e	0 e	0 e	0.02 e	0.03 e	0.07 e	0.02 e	0 e	0 e	0 e
A,NRG_CO2,MIO_EUR,C26,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	0.32 
A,NRG_CO2,MIO_EUR,C26,BE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 e
A,NRG_CO2,MIO_EUR,C26,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,CH	3.19 	4.16 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C26,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,DE	0 e	0.01 e	0.02 e	0.01 e	0.02 e	0.04 e	0.08 e	0.1 e	14.59 e	16.27 e	9.69 bep
A,NRG_CO2,MIO_EUR,C26,DK	: 	0.41 	0.38 	0.38 	0.39 	0.4 	0.33 	0.31 	0.32 	0.29 p	0.28 p
A,NRG_CO2,MIO_EUR,C26,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,FI	: 	0 	0 	0.2 	0.09 	0.14 	0.1 	0.11 	0.14 	0.07 	0.08 
A,NRG_CO2,MIO_EUR,C26,FR	0 e	0.49 e	0.97 e	1.72 e	2.24 e	3.2 e	3.63 e	2.87 e	2.92 e	3.2 p	3.26 p
A,NRG_CO2,MIO_EUR,C26,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,IE	0.37 e	0.34 e	0.33 e	0.28 e	0.3 e	0.3 e	0.33 e	0.49 e	0.69 e	0.76 e	0.91 e
A,NRG_CO2,MIO_EUR,C26,IS	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C26,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,NRG_CO2,MIO_EUR,C26,NO	0 	0 	0 	0 	0 	0 	0 	0.09 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,PL	: 	: 	0.04 	0.01 	0 	0.02 	0.03 	0.02 	0 	0.01 	0.04 
A,NRG_CO2,MIO_EUR,C26,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C26,RO	0 	0.01 	0.05 	0.06 	0.02 	0.01 	0.02 	0.01 	0.05 	0.01 	0.02 
A,NRG_CO2,MIO_EUR,C26,SE	1.71 	1.37 	1.19 	1.12 	0.95 	0.8 	0.68 	0.69 	0.73 	0.64 	0.54 
A,NRG_CO2,MIO_EUR,C26,SI	: 	0 	0 	0.01 	0.02 	0.04 	0.04 	0.05 	0.02 	0.03 	0.03 
A,NRG_CO2,MIO_EUR,C26,SK	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,NRG_CO2,MIO_EUR,C27,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.18 	0.58 
A,NRG_CO2,MIO_EUR,C27,BE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 e
A,NRG_CO2,MIO_EUR,C27,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,CH	1.19 	1.71 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C27,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.12 	0 
A,NRG_CO2,MIO_EUR,C27,DE	0.01 e	0 e	0.01 e	0.01 e	0 e	0 e	0.08 e	0.11 e	18.94 e	21.32 e	19.69 bep
A,NRG_CO2,MIO_EUR,C27,DK	: 	0.43 	0.42 	0.41 	0.42 	0.44 	0.45 	0.46 	0.47 	0.4 p	0.38 p
A,NRG_CO2,MIO_EUR,C27,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,FI	: 	0 	0 	0.38 	0.2 	0.15 	0.25 	0.24 	0.27 	0.29 	0.37 
A,NRG_CO2,MIO_EUR,C27,FR	0.01 e	0.52 e	1 e	1.64 e	2.52 e	3.76 e	4.42 e	4.01 e	3.72 e	4.62 p	5.01 p
A,NRG_CO2,MIO_EUR,C27,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,IE	0.22 e	0.28 e	0.14 e	0.15 e	0.16 e	0.2 e	0.16 e	0.36 e	0.2 e	0.31 e	0.36 e
A,NRG_CO2,MIO_EUR,C27,IS	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C27,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,NL	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 p
A,NRG_CO2,MIO_EUR,C27,NO	0.26 	0.12 	0.11 	0.11 	0.21 	0.42 	0.2 	0.28 	0.2 	0.3 	0.26 
A,NRG_CO2,MIO_EUR,C27,PL	: 	: 	0.13 	0.1 	0.11 	0.37 	0.91 	2.01 	0.01 	3.93 	3.93 
A,NRG_CO2,MIO_EUR,C27,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C27,RO	0.15 	0.19 	0.33 	0.26 	0.16 	0.18 	0.14 	0.14 	0.21 	0.18 	0.29 
A,NRG_CO2,MIO_EUR,C27,SE	2.09 	1.84 	1.88 	2.02 	1.78 	1.56 	1.29 	1.19 	1.31 	1.26 	1.13 
A,NRG_CO2,MIO_EUR,C27,SI	: 	0.07 	0.09 	0.41 	0.39 	0.43 	0.61 	0.67 	0.65 	0.76 	0.91 
A,NRG_CO2,MIO_EUR,C27,SK	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,NRG_CO2,MIO_EUR,C28,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.47 	1.54 
A,NRG_CO2,MIO_EUR,C28,BE	0.01 	0.04 	0.04 	0.07 	0.07 	0.09 	0.13 	0.13 	0.16 	0.27 e	0 e
A,NRG_CO2,MIO_EUR,C28,BG	0 	0 	0 	0 	0 	0 	0 	0 	0.07 	0.42 	0 
A,NRG_CO2,MIO_EUR,C28,CH	3.63 	3.6 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C28,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,DE	0.1 e	0.07 e	0.09 e	0.09 e	0.15 e	0.25 e	0.49 e	0.66 e	58.81 e	65.9 e	62.6 bep
A,NRG_CO2,MIO_EUR,C28,DK	: 	3.21 	3.16 	3.28 	3.19 	3.11 	2.95 	2.8 	3.29 	2.77 p	2.61 p
A,NRG_CO2,MIO_EUR,C28,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,FI	: 	0 	0 	3.24 	1.88 	2.17 	2.06 	2.36 	4.4 	3.09 	2.51 
A,NRG_CO2,MIO_EUR,C28,FR	0.02 e	1.55 e	3.05 e	4.89 e	7.37 e	10.42 e	11.97 e	10.13 e	9.47 e	10.62 p	10.93 p
A,NRG_CO2,MIO_EUR,C28,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,IE	0.7 e	0.92 e	0.77 e	0.76 e	1.16 e	1.11 e	1.18 e	1.65 e	1.44 e	1.24 e	1.45 e
A,NRG_CO2,MIO_EUR,C28,IS	: 	0.01 	0.01 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.03 	0.03 
A,NRG_CO2,MIO_EUR,C28,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C28,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,NRG_CO2,MIO_EUR,C28,NO	1.02 	1.08 	1.12 	0.65 	0.86 	1.56 	1.62 	1.12 	1.18 	1.29 	1.58 
A,NRG_CO2,MIO_EUR,C28,PL	: 	: 	0.02 	0.03 	0.03 	0.07 	0.18 	0.15 	0.09 	0.01 	0.21 
A,NRG_CO2,MIO_EUR,C28,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C28,RO	0.1 	0.11 	3.93 	0.19 	11.93 	0.28 	0.2 	6.56 	0.33 	0.34 	0.68 
A,NRG_CO2,MIO_EUR,C28,SE	9.81 	9.41 	10.02 	10.73 	10.18 	9.03 	7.57 	6.91 	8.66 	8 	8.05 
A,NRG_CO2,MIO_EUR,C28,SI	: 	0.05 	0.08 	0.31 	0.33 	0.46 	0.48 	0.51 	0.99 	1.24 	1.55 
A,NRG_CO2,MIO_EUR,C28,SK	0 e	0.02 e	0.02 e	0.02 e	0.02 e	0.03 e	0.09 e	0.09 e	0.03 e	0.03 e	0.04 e
A,NRG_CO2,MIO_EUR,C29,AT	0.07 	0.07 	0.11 	0.07 	0.09 	0.09 	0.21 	0.15 	0.15 	1.09 	3.29 
A,NRG_CO2,MIO_EUR,C29,BE	0.03 	0.06 	0 	0 	0 	0 	0 	0 	0.46 	0.18 e	0.9 e
A,NRG_CO2,MIO_EUR,C29,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,CH	0.43 	0.34 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C29,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.24 	0.62 
A,NRG_CO2,MIO_EUR,C29,DE	7.9 e	7.94 e	10.69 e	9.04 e	16.24 e	30.4 e	44.54 e	49.97 e	172.33 e	170.33 e	221.03 bep
A,NRG_CO2,MIO_EUR,C29,DK	: 	0.42 	0.41 	0.36 	0.35 	0.34 	0.29 	0.26 	0.31 	0.24 p	0.24 p
A,NRG_CO2,MIO_EUR,C29,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,FI	: 	0 	0 	0.64 	0.81 	0.88 	0.81 	0.83 	0.91 	0.65 	0.72 
A,NRG_CO2,MIO_EUR,C29,FR	0.13 e	2.07 e	3.48 e	6.4 e	8.73 e	10.54 e	18.27 e	21.75 e	12.28 e	16.71 p	18.81 p
A,NRG_CO2,MIO_EUR,C29,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,IE	0.13 e	0.13 e	0.09 e	0.15 e	0.12 e	0.13 e	0.15 e	0.2 e	0.19 e	0.23 e	0.27 e
A,NRG_CO2,MIO_EUR,C29,IS	: 	0 	0 	0.01 	0.01 	0.01 	0 	0 	0.01 	0.01 	0.01 
A,NRG_CO2,MIO_EUR,C29,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C29,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C29,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 p
A,NRG_CO2,MIO_EUR,C29,NO	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C29,PL	: 	: 	0.13 	0.1 	0.09 	0.29 	0.73 	2.5 	0.68 	1.06 	0.49 
A,NRG_CO2,MIO_EUR,C29,PT	0.48 	0.74 	1.13 	1.12 	1.45 	3.07 	3.75 	3.63 	3.61 	7.25 	9.49 
A,NRG_CO2,MIO_EUR,C29,RO	0.37 	0.36 	0.72 	10.71 	0.42 	0.45 	0.6 	6.85 	0.72 	0.7 	1.37 
A,NRG_CO2,MIO_EUR,C29,SE	12.16 	12.05 	13.07 	12.09 	13.53 	14.53 	13.28 	10.57 	12 	10.43 	12.96 
A,NRG_CO2,MIO_EUR,C29,SI	: 	0.05 	0.08 	0.35 	0.39 	0.41 	0.52 	0.56 	0.61 	0.7 	0.83 
A,NRG_CO2,MIO_EUR,C29,SK	0.04 e	0.23 e	0.29 e	0.4 e	0.37 e	0.55 e	1.45 e	1.56 e	0.49 e	0.49 e	0.5 e
A,NRG_CO2,MIO_EUR,C30,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.05 	0.15 
A,NRG_CO2,MIO_EUR,C30,BE	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	0.14 e	0.22 e
A,NRG_CO2,MIO_EUR,C30,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,CH	0.37 	0.35 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C30,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0.62 	0.08 	0.04 
A,NRG_CO2,MIO_EUR,C30,DE	0.07 e	0.02 e	0.11 e	0.09 e	0.17 e	0.46 e	0.72 e	1.25 e	12.37 e	13.16 e	11.35 bep
A,NRG_CO2,MIO_EUR,C30,DK	: 	0.11 	0.1 	0.12 	0.12 	0.14 	0.13 	0.12 	0.16 	0.11 p	0.1 p
A,NRG_CO2,MIO_EUR,C30,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,FI	: 	0 	0 	1 	0.94 	0.77 	1 	0.98 	1.1 	0.81 	1.4 
A,NRG_CO2,MIO_EUR,C30,FR	0.01 e	0.29 e	0.56 e	1.26 e	1.58 e	2.34 e	3.01 e	2.66 e	2.3 e	2.98 p	3.29 p
A,NRG_CO2,MIO_EUR,C30,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,IE	0.07 e	0.04 e	0.02 e	0.01 e	0.01 e	0.01 e	0.03 e	0.02 e	0.04 e	0.01 e	0.01 e
A,NRG_CO2,MIO_EUR,C30,IS	: 	0 	0 	0 	0 	0.01 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NRG_CO2,MIO_EUR,C30,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,NRG_CO2,MIO_EUR,C30,LV	: 	: 	: 	0.01 	: 	: 	: 	: 	: 	: 	: 
A,NRG_CO2,MIO_EUR,C30,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
