freq,tax,unit,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,ENV,MIO_EUR,A02,DK	10.08 	12.34 	13.01 	12.3 	11.87 	12.45 	12.18 	12.37 	13.37 	14.14 p	13.94 p
A,ENV,MIO_EUR,A02,EE	4.08 	4.33 	14.12 	15.85 	13.71 	18.64 	21.31 	12.14 	16.01 	16.27 	15.63 
A,ENV,MIO_EUR,A02,EL	0.26 	0.27 	0.32 	0.32 	0.33 	0.34 	0.34 	0.32 	0.37 	0.54 	0.52 
A,ENV,MIO_EUR,A02,ES	3.98 	4.15 	5.06 	6.38 	6.02 	5.45 	6.06 	5.37 	6.79 	7.33 	7 
A,ENV,MIO_EUR,A02,FI	44.83 	42.9 	30.99 b	47.54 b	52.13 	58.29 	58.9 	57.17 	69.18 	70.58 	74.39 
A,ENV,MIO_EUR,A02,FR	41.92 e	42.5 e	35.71 e	16.7 e	42.21 e	22.28 e	17.52 e	21.75 e	18.35 e	17.76 p	16.27 p
A,ENV,MIO_EUR,A02,HR	2.94 	3.07 	3.12 	3.22 	3.53 	3.87 	4.01 	3.45 	3.71 	3.66 	4.17 
A,ENV,MIO_EUR,A02,HU	12.11 	11.31 	8.68 	9.28 	20.5 	12.88 	12.03 	10.33 	9.95 	8.92 	9.96 
A,ENV,MIO_EUR,A02,IE	8.38 	8.91 	10.67 	12.19 	13.34 	13.64 	11.86 	12.01 	14.83 	9.28 	9.01 
A,ENV,MIO_EUR,A02,IS	0.02 	0.02 	0.02 	0.05 	0.11 	0.05 	0.04 	: 	: 	: 	: 
A,ENV,MIO_EUR,A02,IT	27.98 	28.81 	30.68 	31.85 	32.63 	31.77 	34.16 	29.98 	32.96 	26.58 	38.1 p
A,ENV,MIO_EUR,A02,LT	11.33 	9.83 	33.14 	32.66 	32.22 	35.36 	32.3 	29.66 	37.41 	55.18 	56.74 
A,ENV,MIO_EUR,A02,LU	0.2 	0.22 	0.25 	0.25 	0.35 	0.33 	0.07 	0.4 	0.32 	0.41 	0.49 
A,ENV,MIO_EUR,A02,LV	18.35 	12.92 	17.95 	24.76 	25.53 	32.41 	31.5 	39.39 	27.7 	31.06 	34.1 
A,ENV,MIO_EUR,A02,MK	: 	: 	: 	: 	: 	: 	0.36 	0.59 	0.62 	0.52 	: 
A,ENV,MIO_EUR,A02,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,ENV,MIO_EUR,A02,NL	3 	3 	3 	4 	3 	4 	4 	5 	5 	4 	3 p
A,ENV,MIO_EUR,A02,NO	9.09 	8.62 	8.16 	8.72 	8.04 	10 	8.93 	9.05 	11.12 	10.59 	5.86 
A,ENV,MIO_EUR,A02,PL	24.59 	22.12 	22.79 	19.61 	23.07 	23.76 	19.58 	14.18 	17.98 	17.75 	20.23 
A,ENV,MIO_EUR,A02,PT	8.84 	9.02 	9.76 	15.89 	15.98 	15.89 	16.65 	16.49 	17.56 	14.82 	16.66 
A,ENV,MIO_EUR,A02,RO	1.94 	1.76 	2.5 	2.02 	1.86 	2.4 	2.08 	1.97 	2.32 	2.87 	2.99 
A,ENV,MIO_EUR,A02,RS	4.08 	3.52 	3.78 	10.5 	10.75 	10.24 	9.26 	9.49 	7.9 	8 	9.12 
A,ENV,MIO_EUR,A02,SE	180.42 	162.75 	174.23 	164.37 	159.98 	147.34 	144.82 	135.82 	143.23 	99.39 	71.62 
A,ENV,MIO_EUR,A02,SK	3.72 	3.84 	3.66 	4.97 	4.12 	3.36 	2.4 	9.54 	12.83 	12.1 p	12.49 ep
A,ENV,MIO_EUR,A02,TR	2.31 	2.01 	2.22 	2.24 	2.09 	1.27 	1.33 	1.53 	1 	1.45 	2.43 
A,ENV,MIO_EUR,A03,AT	0 	0 	0 	0 	0 	0.3 	0.31 	0.25 	0.34 	0.33 	0.38 
A,ENV,MIO_EUR,A03,BE	0.32 	1.45 	4.48 	8.78 	10.62 	9.01 	10.48 	13.9 	16.71 	15.57 e	19.61 e
A,ENV,MIO_EUR,A03,BG	0.19 	0.21 	0.24 	0.25 	0.27 	0.27 	0.27 	0.26 	0.25 	0.24 	0.19 
A,ENV,MIO_EUR,A03,CH	3.57 	4.24 	4.92 	4.88 	4.88 	4.78 	4.84 	5.13 	5.14 	5.37 	5.69 p
A,ENV,MIO_EUR,A03,CY	0.11 	0.12 	0.13 	0.11 	0.14 	0.18 	0.15 	0.15 	0.13 	0.12 	0.1 
A,ENV,MIO_EUR,A03,CZ	0.69 	0.58 	0.77 	0.78 	0.87 	0.86 	0.97 	1.02 	0.9 	0.65 	0.59 
A,ENV,MIO_EUR,A03,DE	7 	4.34 	8.62 	7.67 	8.76 	7.71 	18.15 be	18.42 e	18.88 e	14.88 e	15.78 bep
A,ENV,MIO_EUR,A03,DK	11.99 	21.69 	21.83 	21.45 	20.07 	19.57 	28.17 	26.71 	32.59 	30.36 p	28.92 p
A,ENV,MIO_EUR,A03,EE	2.81 	2.93 	6.75 	7.63 	4.85 	5.62 	7.93 	4.74 	5.19 	4.61 	4.87 
A,ENV,MIO_EUR,A03,EL	22.23 	23.98 	23.43 	24.42 	25.41 	22.24 	23.19 	28.01 	26.11 	24.06 	27.37 
A,ENV,MIO_EUR,A03,ES	7.24 	7.07 	7.95 	7.55 	7.97 	8.46 	7.49 	6.19 	7.74 	7.06 	6.84 
A,ENV,MIO_EUR,A03,EU27_2020	424.59 	448.32 	496.81 	539.78 	524.96 	363.33 	417.74 	354.39 	485.89 	397.42 	413.47 
A,ENV,MIO_EUR,A03,FI	3.66 	3.96 	3.84 b	6.77 b	6.56 	8.56 	5.33 	5.57 	13.9 	1.19 	1.32 
A,ENV,MIO_EUR,A03,FR	301.19 e	307.78 e	335.87 e	365.27 e	345.7 e	179 e	226.62 e	165.64 e	279.4 e	231.84 p	228.24 p
A,ENV,MIO_EUR,A03,HR	9.35 	10.33 	12.45 	13.14 	14.39 	15.98 	16.53 	14.12 	15.31 	15.07 	17.33 
A,ENV,MIO_EUR,A03,HU	0.54 	0.68 	0.62 	0.75 	1.52 	0.78 	0.76 	0.72 	0.66 	0.52 	0.53 
A,ENV,MIO_EUR,A03,IE	1.99 	2.4 	2.88 	3.23 	3.6 	3.34 	2.44 	2.58 	3.45 	1.76 	1.54 
A,ENV,MIO_EUR,A03,IS	10.45 	11.1 	12.66 	14.2 	17.62 	20.52 	17.23 	16.42 	15.51 	20.66 	22.18 
A,ENV,MIO_EUR,A03,IT	26.73 	30.37 	34.67 	40.23 	43.12 	44.48 	37.45 	35.31 	34.62 	22.16 	31.1 p
